Literal,Node_ID,Position,Feature
x841,29,"(3, 2)",X
x842,29,"(3, 2)",O
x843,29,"(3, 2)", 
x844,29,"(3, 2)",A
x845,29,"(3, 2)",B
x846,29,"(3, 2)",C
x847,29,"(3, 2)",D
x848,29,"(3, 2)",E
x849,29,"(3, 2)",F
x850,29,"(3, 2)",G
x851,29,"(3, 2)",H
x852,29,"(3, 2)",I
x853,29,"(3, 2)",J
x854,29,"(3, 2)",K
x855,29,"(3, 2)",L
x856,29,"(3, 2)",M
x857,29,"(3, 2)",N
x858,29,"(3, 2)",P
x859,29,"(3, 2)",Q
x860,29,"(3, 2)",R
x861,29,"(3, 2)",S
x862,29,"(3, 2)",T
x863,29,"(3, 2)",U
x864,29,"(3, 2)",V
x865,29,"(3, 2)",W
x866,29,"(3, 2)",Y
x867,29,"(3, 2)",Z
x868,29,"(3, 2)",Connected
x869,29,"(3, 2)",Not Connected
x870,30,"(3, 3)",X
x871,30,"(3, 3)",O
x872,30,"(3, 3)", 
x873,30,"(3, 3)",A
x874,30,"(3, 3)",B
x875,30,"(3, 3)",C
x876,30,"(3, 3)",D
x877,30,"(3, 3)",E
x878,30,"(3, 3)",F
x879,30,"(3, 3)",G
x880,30,"(3, 3)",H
x881,30,"(3, 3)",I
x882,30,"(3, 3)",J
x883,30,"(3, 3)",K
x884,30,"(3, 3)",L
x885,30,"(3, 3)",M
x886,30,"(3, 3)",N
x887,30,"(3, 3)",P
x888,30,"(3, 3)",Q
x889,30,"(3, 3)",R
x890,30,"(3, 3)",S
x891,30,"(3, 3)",T
x892,30,"(3, 3)",U
x893,30,"(3, 3)",V
x894,30,"(3, 3)",W
x895,30,"(3, 3)",Y
x896,30,"(3, 3)",Z
x897,30,"(3, 3)",Connected
x898,30,"(3, 3)",Not Connected
x899,31,"(3, 4)",X
x900,31,"(3, 4)",O
x901,31,"(3, 4)", 
x902,31,"(3, 4)",A
x903,31,"(3, 4)",B
x904,31,"(3, 4)",C
x905,31,"(3, 4)",D
x906,31,"(3, 4)",E
x907,31,"(3, 4)",F
x908,31,"(3, 4)",G
x909,31,"(3, 4)",H
